,xmin,ymin,xmax,ymax,confidence,class,name
0,434.2451477050781,232.6739959716797,495.4380798339844,408.4900817871094,0.8946842551231384,0,person
1,498.43048095703125,239.12548828125,548.8646850585938,397.52008056640625,0.8306945562362671,0,person
2,355.0487060546875,120.70987701416016,386.8090515136719,202.1890106201172,0.6555214524269104,9,traffic light
3,372.0111999511719,124.34820556640625,411.4189758300781,202.4941864013672,0.46193647384643555,9,traffic light
4,435.64068603515625,232.34239196777344,495.8374328613281,407.9577941894531,0.8914785385131836,0,person
5,497.1047058105469,240.20127868652344,548.436279296875,396.9016418457031,0.8461818695068359,0,person
6,355.42401123046875,121.48705291748047,387.1138000488281,202.9830322265625,0.6878196597099304,9,traffic light
7,368.2351989746094,125.01406860351562,411.9741516113281,202.64288330078125,0.4504629671573639,9,traffic light
8,436.7900695800781,232.22073364257812,495.70635986328125,406.9611511230469,0.8878967761993408,0,person
9,495.63299560546875,239.80274963378906,548.8597412109375,397.37823486328125,0.8493229746818542,0,person
10,355.6768798828125,122.22772979736328,387.58831787109375,203.37286376953125,0.6872385740280151,9,traffic light
11,361.73236083984375,125.22457122802734,412.2115173339844,203.00875854492188,0.44042372703552246,9,traffic light
12,438.0130920410156,232.18716430664062,495.8306579589844,406.777587890625,0.8811221122741699,0,person
13,495.702880859375,239.77456665039062,548.8419189453125,398.42120361328125,0.8488165140151978,0,person
14,356.0675964355469,122.80039978027344,387.9717712402344,203.66372680664062,0.6835473775863647,9,traffic light
15,386.7894592285156,124.69535827636719,413.072509765625,203.42005920410156,0.4149550795555115,9,traffic light
16,437.93896484375,232.85348510742188,495.8782043457031,406.4764709472656,0.8834354877471924,0,person
17,495.6162414550781,239.49005126953125,548.822998046875,398.62884521484375,0.8482162356376648,0,person
18,356.0533447265625,122.84425354003906,387.94317626953125,203.6082000732422,0.6808172464370728,9,traffic light
19,386.7359924316406,124.65760803222656,413.0765380859375,203.37493896484375,0.4108203947544098,9,traffic light
20,439.2799072265625,232.26788330078125,496.5235290527344,405.9912414550781,0.8811478018760681,0,person
21,496.8797607421875,239.43429565429688,548.0795288085938,398.63848876953125,0.8459623456001282,0,person
22,356.55340576171875,123.64237976074219,388.63525390625,203.87905883789062,0.6952328085899353,9,traffic light
23,387.6160583496094,125.44572448730469,413.0030822753906,203.2987518310547,0.44961923360824585,9,traffic light
24,440.0400085449219,232.9165802001953,496.259521484375,406.2276306152344,0.8836693167686462,0,person
25,496.1102600097656,238.86741638183594,547.8322143554688,399.9649658203125,0.8537644743919373,0,person
26,357.55499267578125,123.89181518554688,389.90185546875,204.2764892578125,0.6853554844856262,9,traffic light
27,387.91070556640625,126.66556549072266,412.8951721191406,202.51841735839844,0.46752142906188965,9,traffic light
28,440.0455017089844,233.10845947265625,496.5754699707031,404.8360290527344,0.883246123790741,0,person
29,494.8233947753906,238.1502685546875,547.9598388671875,402.0062255859375,0.8575264811515808,0,person
30,358.2952880859375,124.08354949951172,391.0555419921875,205.00865173339844,0.6423069834709167,9,traffic light
31,388.6839599609375,127.8021469116211,413.52789306640625,201.65945434570312,0.5120244026184082,9,traffic light
32,440.73687744140625,233.6244659423828,496.9541015625,403.4375,0.8832257986068726,0,person
33,494.62078857421875,237.3877410888672,548.3731079101562,403.7669677734375,0.8506401777267456,0,person
34,359.4159240722656,124.78621673583984,390.00030517578125,203.82540893554688,0.654062807559967,9,traffic light
35,388.0209045410156,128.28138732910156,414.08880615234375,202.45724487304688,0.5142726898193359,9,traffic light
36,440.5116882324219,233.67068481445312,496.685791015625,401.3897399902344,0.878520667552948,0,person
37,494.02294921875,237.35134887695312,548.4088134765625,402.4169616699219,0.8423920273780823,0,person
38,360.4364318847656,125.3501205444336,390.1108703613281,202.4383544921875,0.6206609010696411,9,traffic light
39,387.64996337890625,128.83551025390625,414.475830078125,200.73353576660156,0.5084322690963745,9,traffic light
40,443.5081787109375,386.8795471191406,491.96905517578125,405.0271301269531,0.260628879070282,30,skis
41,440.340087890625,233.6743621826172,496.68475341796875,401.27008056640625,0.8782605528831482,0,person
42,494.02569580078125,237.16677856445312,548.3216552734375,402.356689453125,0.8417112231254578,0,person
43,360.429931640625,125.3572998046875,390.0993347167969,202.4566192626953,0.6172181963920593,9,traffic light
44,387.67578125,128.79722595214844,414.49066162109375,200.67942810058594,0.510293185710907,9,traffic light
45,443.52752685546875,386.8281555175781,492.1214294433594,405.029296875,0.254332572221756,30,skis
46,440.5148620605469,233.2111358642578,496.7394104003906,400.75616455078125,0.8805530667304993,0,person
47,494.05810546875,237.84754943847656,547.6397094726562,400.7572937011719,0.842014491558075,0,person
48,361.2344055175781,125.52571868896484,391.8358154296875,202.5650177001953,0.6194291710853577,9,traffic light
49,388.4176330566406,127.75030517578125,415.38751220703125,199.9081573486328,0.5175846815109253,9,traffic light
50,440.32086181640625,232.5453643798828,497.1920471191406,400.800048828125,0.8802855610847473,0,person
51,494.650634765625,238.30917358398438,547.4449462890625,398.0107116699219,0.8344655632972717,0,person
52,361.5906982421875,126.0197525024414,393.5335693359375,203.0050506591797,0.5673049092292786,9,traffic light
53,389.45904541015625,127.37944793701172,415.5360107421875,200.65843200683594,0.5153436660766602,9,traffic light
54,439.2600402832031,233.02340698242188,496.51263427734375,398.4544677734375,0.8806746602058411,0,person
55,494.81854248046875,239.07330322265625,546.9854736328125,395.622802734375,0.8353602290153503,0,person
56,362.0255126953125,126.19254302978516,394.2110900878906,203.23104858398438,0.5671084523200989,9,traffic light
